,day,am,pm
2019-07-08,Monday,Orientation,Git / Github
2019-07-09,Tuesday,Pandas: Introduction,Bash
2019-07-10,Wednesday,Plotting in pandas,Long vs Wide Tables
2019-07-11,Thursday,Data Wrangling in pandas,NOTHING HAHAHAHA
2019-07-12,Friday,Simple Linear Regression,recap: Data Structures
2019-07-15,Monday,Project Intro  / Machine Learning Intro,Logistic Regression
2019-07-16,Tuesday,Feature Engineering I,Evaluating classifiers
2019-07-17,Wednesday,Feature Engineering II,Cross-Validation
2019-07-18,Thursday,Support Vector Machines,Plotting
2019-07-19,Friday,Debugging,recap pandas
2019-07-22,Monday,TBD,TBD
2019-07-23,Tuesday,TBD,TBD
2019-07-24,Wednesday,TBD,TBD
2019-07-25,Thursday,TBD,TBD
2019-07-26,Friday,TBD,TBD
2019-07-29,Monday,TBD,TBD
2019-07-30,Tuesday,TBD,TBD
2019-07-31,Wednesday,TBD,TBD
2019-08-01,Thursday,TBD,TBD
2019-08-02,Friday,TBD,TBD
2019-08-05,Monday,TBD,TBD
2019-08-06,Tuesday,TBD,TBD
2019-08-07,Wednesday,TBD,TBD
2019-08-08,Thursday,TBD,TBD
2019-08-09,Friday,TBD,TBD
2019-08-12,Monday,TBD,TBD
2019-08-13,Tuesday,TBD,TBD
2019-08-14,Wednesday,TBD,TBD
2019-08-15,Thursday,TBD,TBD
2019-08-16,Friday,TBD,TBD
2019-08-19,Monday,TBD,TBD
2019-08-20,Tuesday,TBD,TBD
2019-08-21,Wednesday,TBD,TBD
2019-08-22,Thursday,TBD,TBD
2019-08-23,Friday,TBD,TBD
2019-08-26,Monday,TBD,TBD
2019-08-27,Tuesday,TBD,TBD
2019-08-28,Wednesday,TBD,TBD
2019-08-29,Thursday,TBD,TBD
2019-08-30,Friday,TBD,TBD
2019-09-02,Monday,TBD,TBD
2019-09-03,Tuesday,TBD,TBD
2019-09-04,Wednesday,TBD,TBD
2019-09-05,Thursday,TBD,TBD
2019-09-06,Friday,TBD,TBD
2019-09-09,Monday,TBD,TBD
2019-09-10,Tuesday,TBD,TBD
2019-09-11,Wednesday,TBD,TBD
2019-09-12,Thursday,TBD,TBD
2019-09-13,Friday,TBD,TBD
2019-09-16,Monday,TBD,TBD
2019-09-17,Tuesday,TBD,TBD
2019-09-18,Wednesday,TBD,TBD
2019-09-19,Thursday,TBD,TBD
2019-09-20,Friday,TBD,TBD
2019-09-23,Monday,TBD,TBD
2019-09-24,Tuesday,TBD,TBD
2019-09-25,Wednesday,TBD,TBD
2019-09-26,Thursday,TBD,TBD
2019-09-27,Friday,TBD,TBD
