,year_,month_,mean_temp_celsius
794,1921,1,-5.300
795,1921,2,-2.300
796,1921,3,-0.900
797,1921,4,2.500
798,1921,5,4.600
799,1921,6,7.400
800,1921,7,10.200
801,1921,8,10.500
802,1921,9,5.700
803,1921,10,0.400
804,1921,11,-1.900
805,1921,12,-2.900
806,1922,1,-3.700
807,1922,2,-3.200
808,1922,3,-5.000
809,1922,4,0.700
810,1922,5,5.900
811,1922,6,10.600
812,1922,7,14.800
813,1922,8,11.900
814,1922,9,7.700
815,1922,10,2.300
816,1922,11,-1.800
817,1922,12,-5.100
818,1923,1,-2.600
819,1923,2,-3.300
820,1923,3,-0.500
821,1923,4,-1.100
822,1923,5,3.800
823,1923,6,4.800
824,1923,7,10.000
825,1923,8,8.700
826,1923,9,6.800
827,1923,10,2.300
828,1923,11,-1.200
829,1923,12,-3.200
830,1924,1,-2.500
831,1924,2,-6.100
832,1924,3,-5.100
833,1924,4,-1.200
834,1924,5,3.200
835,1924,6,7.100
836,1924,7,12.900
837,1924,8,12.800
838,1924,9,7.900
839,1924,10,5.600
840,1924,11,0.100
841,1924,12,-0.600
842,1925,1,0.400
843,1925,2,-2.900
844,1925,3,-5.100
845,1925,4,1.300
846,1925,5,4.300
847,1925,6,9.300
848,1925,7,13.400
849,1925,8,12.300
850,1925,9,8.500
851,1925,10,0.100
852,1925,11,-2.700
853,1925,12,-4.800
854,1926,1,-3.500
855,1926,2,-3.700
856,1926,3,-2.300
857,1926,4,-0.100
858,1926,5,3.900
859,1926,6,8.500
860,1926,7,10.800
861,1926,8,10.300
862,1926,9,6.900
863,1926,10,-0.500
864,1926,11,-0.300
865,1926,12,-4.500
866,1927,1,-5.300
867,1927,2,-2.600
868,1927,3,-3.200
869,1927,4,-1.100
870,1927,5,2.500
871,1927,6,8.300
872,1927,7,14.800
873,1927,8,12.900
874,1927,9,6.100
875,1927,10,0.500
876,1927,11,-1.600
877,1927,12,-2.500
878,1928,1,-2.200
879,1928,2,-1.500
880,1928,3,-1.500
881,1928,4,0.300
882,1928,5,3.400
883,1928,6,10.300
884,1928,7,10.300
